Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom

Title,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,2025 JIF,JIF Rank
Tropical Medicine and Infectious Disease,TROP MED INFECT DIS,MDPI,N/A,2414-6366,Multiple,SCIE,3.1,59/141
BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA,B SEISMOL SOC AM,SEISMOLOGICAL SOC AMER,0037-1106,1943-3573,GEOCHEMISTRY & GEOPHYSICS,SCIE,3.1,29/103
BMC Pulmonary Medicine,BMC PULM MED,BMC,1471-2466,1471-2466,RESPIRATORY SYSTEM,SCIE,3.1,45/107
PRENATAL DIAGNOSIS,PRENATAL DIAG,WILEY,0197-3851,1097-0223,Multiple,SCIE,3.1,74/192
Sports Health-A Multidisciplinary Approach,SPORTS HEALTH,SAGE PUBLICATIONS INC,1941-7381,1941-0921,SPORT SCIENCES,SCIE,3.1,35/136
IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY,IMMUNOPHARM IMMUNOT,TAYLOR & FRANCIS LTD,0892-3973,1532-2513,Multiple,SCIE,3.1,108/183
PHYSICS IN MEDICINE AND BIOLOGY,PHYS MED BIOL,IOP Publishing Ltd,0031-9155,1361-6560,Multiple,SCIE,3.1,64/130
Tropical Diseases Travel Medicine and Vaccines,TROP DIS TRAVEL MED,SPRINGERNATURE,2055-0936,2055-0936,Multiple,ESCI,3.1,59/141
JOURNAL OF INORGANIC BIOCHEMISTRY,J INORG BIOCHEM,ELSEVIER SCIENCE INC,0162-0134,1873-3344,Multiple,SCIE,3.1,192/328
YONSEI MEDICAL JOURNAL,YONSEI MED J,YONSEI UNIV COLL MEDICINE,0513-5796,1976-2437,"MEDICINE, GENERAL & INTERNAL",SCIE,3.1,71/336
Cost Effectiveness and Resource Allocation,COST EFFECT RESOUR A,BMC,1478-7547,1478-7547,HEALTH POLICY & SERVICES,SSCI,3.1,31/125
International Journal of Structural Integrity,INT J STRUCT INTEGR,EMERALD GROUP PUBLISHING LTD,1757-9864,1757-9872,"ENGINEERING, MULTIDISCIPLINARY",ESCI,3.1,54/178
JOURNAL OF ENGINEERING MECHANICS,J ENG MECH,ASCE-AMER SOC CIVIL ENGINEERS,0733-9399,1943-7889,"ENGINEERING, MECHANICAL",SCIE,3.1,70/184
JOURNAL OF MAMMARY GLAND BIOLOGY AND NEOPLASIA,J MAMMARY GLAND BIOL,SPRINGER/PLENUM PUBLISHERS,1083-3021,1573-7039,Multiple,SCIE,3.1,105/198
ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,ENVIRON PLANN D,SAGE PUBLICATIONS LTD,0263-7758,1472-3433,Multiple,SSCI,3.1,104/202
PET Clinics,PET CLIN,ELSEVIER INC,1556-8598,1559-7814,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",ESCI,3.1,70/217
PSYCHONOMIC BULLETIN & REVIEW,PSYCHON B REV,SPRINGER,1069-9384,1531-5320,Multiple,SSCI,3.1,26/104
Review of Regional Research-Jahrbuch fur Regionalwissenschaft,REV REG RES,SPRINGER HEIDELBERG,0173-7600,1613-9836,ECONOMICS,ESCI,3.1,135/626
SOUTH AFRICAN JOURNAL OF BOTANY,S AFR J BOT,ELSEVIER,0254-6299,1727-9321,PLANT SCIENCES,SCIE,3.1,97/285
TOXICOLOGY LETTERS,TOXICOL LETT,ELSEVIER IRELAND LTD,0378-4274,1879-3169,TOXICOLOGY,SCIE,3.1,52/106
VIBRATIONAL SPECTROSCOPY,VIB SPECTROSC,ELSEVIER,0924-2031,1873-3697,Multiple,SCIE,3.1,53/110
Economic Systems Research,ECON SYST RES,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0953-5314,1469-5758,ECONOMICS,SSCI,3.1,135/626
Frontiers in Reproductive Health,FRONT REPROD HEALTH,FRONTIERS MEDIA SA,N/A,2673-3153,Multiple,ESCI,3.1,128/443
HUMAN MOLECULAR GENETICS,HUM MOL GENET,OXFORD UNIV PRESS,0964-6906,1460-2083,Multiple,SCIE,3.1,192/328
Journal of Proteomics,J PROTEOMICS,ELSEVIER,1874-3919,1876-7737,BIOCHEMICAL RESEARCH METHODS,SCIE,3.1,36/85
MAGNETIC RESONANCE MATERIALS IN PHYSICS BIOLOGY AND MEDICINE,MAGN RESON MATER PHY,SPRINGER,1352-8661,1352-8661,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,3.1,70/217
MEDICAL MICROBIOLOGY AND IMMUNOLOGY,MED MICROBIOL IMMUN,SPRINGER,0300-8584,1432-1831,Multiple,SCIE,3.1,108/183
Molecular Informatics,MOL INFORM,WILEY-V C H VERLAG GMBH,1868-1743,1868-1751,Multiple,SCIE,3.1,44/72
OCEAN MODELLING,OCEAN MODEL,ELSEVIER SCI LTD,1463-5003,1463-5011,Multiple,SCIE,3.1,62/114
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,AM J PHARM EDUC,ELSEVIER,0002-9459,1553-6467,Multiple,SCIE,3.1,20/89
Journal of Pain Research,J PAIN RES,DOVE MEDICAL PRESS LTD,1178-7090,1178-7090,CLINICAL NEUROLOGY,SCIE,3.1,127/296
Pain Research & Management,PAIN RES MANAG,WILEY,1203-6765,1918-1523,CLINICAL NEUROLOGY,SCIE,3.1,127/296
Seminars in Ophthalmology,SEMIN OPHTHALMOL,TAYLOR & FRANCIS INC,0882-0538,1744-5205,OPHTHALMOLOGY,SCIE,3.1,25/98
BMC Rheumatology,BMC RHEUMATOL,SPRINGERNATURE,N/A,2520-1026,RHEUMATOLOGY,ESCI,3.1,22/58
JOURNAL OF THE NEUROLOGICAL SCIENCES,J NEUROL SCI,ELSEVIER,0022-510X,1878-5883,Multiple,SCIE,3.1,127/296
Asian Journal of Shipping and Logistics,ASIAN J SHIPPING LOG,ELSEVIER,2092-5212,2352-4871,TRANSPORTATION,ESCI,3.1,38/66
GERONTOLOGY,GERONTOLOGY,KARGER,0304-324X,1423-0003,GERIATRICS & GERONTOLOGY,SCIE,3.1,38/72
SEIZURE-EUROPEAN JOURNAL OF EPILEPSY,SEIZURE-EUR J EPILEP,W B SAUNDERS CO LTD,1059-1311,1532-2688,Multiple,SCIE,3.1,127/296
HEMATOLOGY-ONCOLOGY CLINICS OF NORTH AMERICA,HEMATOL ONCOL CLIN N,W B SAUNDERS CO-ELSEVIER INC,0889-8588,1558-1977,Multiple,SCIE,3.1,37/103
JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY,J VASC INTERV RADIOL,ELSEVIER SCIENCE INC,1051-0443,1535-7732,Multiple,SCIE,3.1,36/100
RESOURCE AND ENERGY ECONOMICS,RESOUR ENERGY ECON,ELSEVIER,0928-7655,1873-0221,Multiple,SSCI,3.1,135/626
Stroke-Vascular and Interventional Neurology,STROKE-VASC INTERV N,LIPPINCOTT WILLIAMS & WILKINS,2694-5746,2694-5746,Multiple,ESCI,3.1,127/296
AoB Plants,AOB PLANTS,OXFORD UNIV PRESS,2041-2851,2041-2851,Multiple,SCIE,3.1,72/205
FIBERS AND POLYMERS,FIBER POLYM,KOREAN FIBER SOC,1229-9197,1875-0052,Multiple,SCIE,3.1,9/31
Genes,GENES-BASEL,MDPI,N/A,2073-4425,GENETICS & HEREDITY,SCIE,3.1,74/192
Geochronology,GEOCHRONOLOGY,COPERNICUS GESELLSCHAFT MBH,N/A,2628-3719,Multiple,ESCI,3.1,29/103
JOURNAL OF MOLECULAR ENDOCRINOLOGY,J MOL ENDOCRINOL,BIOSCIENTIFICA LTD,0952-5041,1479-6813,ENDOCRINOLOGY & METABOLISM,SCIE,3.1,105/198
Plasma,PLASMA-BASEL,MDPI,2571-6182,2571-6182,"PHYSICS, FLUIDS & PLASMAS",ESCI,3.1,13/43
ANAEROBE,ANAEROBE,ELSEVIER SCI LTD,1075-9964,1095-8274,MICROBIOLOGY,SCIE,3.1,95/167
ANIMAL CONSERVATION,ANIM CONSERV,WILEY,1367-9430,1469-1795,Multiple,SCIE,3.1,22/77
CURRENT PROBLEMS IN SURGERY,CURR PROB SURG,MOSBY-ELSEVIER,0011-3840,1535-6337,SURGERY,SCIE,3.1,59/321
NUTRITIONAL NEUROSCIENCE,NUTR NEUROSCI,TAYLOR & FRANCIS LTD,1028-415X,1476-8305,Multiple,SCIE,3.1,172/330
Open Heart,OPEN HEART,BMJ PUBLISHING GROUP,2053-3624,2053-3624,CARDIAC & CARDIOVASCULAR SYSTEMS,ESCI,3.1,91/237
Proceedings of the ACM on Computer Graphics and Interactive Techniques,P ACM COMPUT GRAPH,ASSOC COMPUTING MACHINERY,N/A,2577-6193,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ESCI,3.1,52/128
PSYCHOPATHOLOGY,PSYCHOPATHOLOGY,KARGER,0254-4962,1423-033X,PSYCHIATRY,"SCIE, SSCI",3.1,108/293
CLINICAL DRUG INVESTIGATION,CLIN DRUG INVEST,ADIS INT LTD,1173-2563,1179-1918,PHARMACOLOGY & PHARMACY,SCIE,3.1,163/356
Diabetes & Vascular Disease Research,DIABETES VASC DIS RE,SAGE PUBLICATIONS LTD,1479-1641,1752-8984,Multiple,SCIE,3.1,105/198
Hydrology,HYDROLOGY-BASEL,MDPI,N/A,2306-5338,WATER RESOURCES,ESCI,3.1,56/132
Management and Organization Review,MANAGE ORGAN REV,CAMBRIDGE UNIV PRESS,1740-8776,1740-8784,MANAGEMENT,SSCI,3.1,204/426
MIS Quarterly Executive,MIS Q EXEC,"INDIANA UNIV, OPER & DECISION TECHNOL DEPT",1540-1960,1540-1979,Multiple,SSCI,3.1,49/172
Ornamental Plant Research,ORNAM PLANT RES,Maximum Academic Press,N/A,2769-2094,HORTICULTURE,ESCI,3.1,12/45
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,AEU-INT J ELECTRON C,ELSEVIER GMBH,1434-8411,1618-0399,Multiple,SCIE,3.1,167/369
ANALYTICAL BIOCHEMISTRY,ANAL BIOCHEM,ACADEMIC PRESS INC ELSEVIER SCIENCE,0003-2697,1096-0309,Multiple,SCIE,3.1,36/85
BMC Cardiovascular Disorders,BMC CARDIOVASC DISOR,BMC,1471-2261,1471-2261,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,3.1,91/237
JOURNAL OF APPLIED TOXICOLOGY,J APPL TOXICOL,WILEY,0260-437X,1099-1263,TOXICOLOGY,SCIE,3.1,52/106
JOURNAL OF HOUSING ECONOMICS,J HOUS ECON,ACADEMIC PRESS INC ELSEVIER SCIENCE,1051-1377,1096-0791,Multiple,SSCI,3.1,135/626
ACTA DIABETOLOGICA,ACTA DIABETOL,SPRINGER-VERLAG ITALIA SRL,0940-5429,1432-5233,ENDOCRINOLOGY & METABOLISM,SCIE,3.1,105/198
Applied Spatial Analysis and Policy,APPL SPAT ANAL POLIC,SPRINGER,1874-463X,1874-4621,Multiple,SSCI,3.1,104/202
Current Drug Delivery,CURR DRUG DELIV,BENTHAM SCIENCE PUBL LTD,1567-2018,1875-5704,PHARMACOLOGY & PHARMACY,SCIE,3.1,163/356
IEEE Journal on Exploratory Solid-State Computational Devices and Circuits,IEEE J EXPLOR SOLID-,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2329-9231,2329-9231,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",ESCI,3.1,30/60
IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA,IMMUNOL ALLERGY CLIN,W B SAUNDERS CO-ELSEVIER INC,0889-8561,1557-8607,Multiple,SCIE,3.1,18/40
JOURNAL OF NEUROSCIENCE RESEARCH,J NEUROSCI RES,WILEY,0360-4012,1097-4547,NEUROSCIENCES,SCIE,3.1,172/330
KAOHSIUNG JOURNAL OF MEDICAL SCIENCES,KAOHSIUNG J MED SCI,WILEY,1607-551X,2410-8650,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,3.1,92/191
Avicenna,AVICENNA,HAMAD BIN KHALIFA UNIV PRESS,2220-2749,2220-2749,HEALTH POLICY & SERVICES,ESCI,3.1,31/125
EXPERIMENTAL HEAT TRANSFER,EXP HEAT TRANSFER,TAYLOR & FRANCIS INC,0891-6152,1521-0480,Multiple,SCIE,3.1,70/184
IEEE Open Journal of Engineering in Medicine and Biology,IEEE OPEN J ENG MED,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,N/A,2644-1276,"ENGINEERING, BIOMEDICAL",ESCI,3.1,64/130
International Journal of Fuzzy Systems,INT J FUZZY SYST,SPRINGER HEIDELBERG,1562-2479,2199-3211,Multiple,SCIE,3.1,33/88
Chinese Journal of Integrative Medicine,CHIN J INTEGR MED,SPRINGER,1672-0415,1993-0402,INTEGRATIVE & COMPLEMENTARY MEDICINE,SCIE,3.1,16/48
European Management Review,EUR MANAG REV,WILEY,1740-4754,1740-4762,MANAGEMENT,SSCI,3.1,204/426
HYDROLOGICAL PROCESSES,HYDROL PROCESS,WILEY,0885-6087,1099-1085,WATER RESOURCES,SCIE,3.1,56/132
International Journal of Sustainable Transportation,INT J SUSTAIN TRANSP,TAYLOR & FRANCIS INC,1556-8318,1556-8334,Multiple,SSCI,3.1,104/202
JOURNAL OF NEUROIMMUNOLOGY,J NEUROIMMUNOL,ELSEVIER,0165-5728,1872-8421,Multiple,SCIE,3.1,108/183
PFG-Journal of Photogrammetry Remote Sensing and Geoinformation Science,PFG-J PHOTOGRAMM REM,SPRINGER INT PUBL AG,2512-2789,2512-2819,Multiple,SCIE,3.1,21/39
Tissue Barriers,TISSUE BARRIERS,TAYLOR & FRANCIS INC,2168-8370,2168-8370,"MEDICINE, RESEARCH & EXPERIMENTAL",ESCI,3.1,92/191
Bone Reports,BONE REP,ELSEVIER,2352-1872,2352-1872,ENDOCRINOLOGY & METABOLISM,ESCI,3.1,105/198
BRITISH JOURNAL OF NUTRITION,BRIT J NUTR,CAMBRIDGE UNIV PRESS,0007-1145,1475-2662,NUTRITION & DIETETICS,SCIE,3.1,56/114
Cogent Food & Agriculture,COGENT FOOD AGR,TAYLOR & FRANCIS LTD,2331-1932,2331-1932,"AGRICULTURE, MULTIDISCIPLINARY",SCIE,3.1,29/95
JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,J STEROID BIOCHEM,PERGAMON-ELSEVIER SCIENCE LTD,0960-0760,1879-1220,Multiple,SCIE,3.1,192/328
MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MED BIOL ENG COMPUT,SPRINGER HEIDELBERG,0140-0118,1741-0444,Multiple,SCIE,3.1,99/185
Current Sexual Health Reports,CURR SEX HEALTH REP,SPRINGERNATURE,1548-3584,1548-3592,UROLOGY & NEPHROLOGY,ESCI,3.1,38/134
Digital Threats: Research and Practice,DIGIT THREATS,ASSOC COMPUTING MACHINERY,2692-1626,2576-5337,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ESCI,3.1,135/266
Forensic Science International-Digital Investigation,FORENS SCI INT-DIGIT,ELSEVIER SCI LTD,N/A,2666-2817,Multiple,SCIE,3.1,135/266
American Journal of Cancer Research,AM J CANCER RES,E-CENTURY PUBLISHING CORP,2156-6976,2156-6976,ONCOLOGY,SCIE,3.1,165/333
ARCHIVE OF APPLIED MECHANICS,ARCH APPL MECH,SPRINGER,0939-1533,1432-0681,MECHANICS,SCIE,3.1,70/172
CEREBELLUM,CEREBELLUM,SPRINGER,1473-4222,1473-4230,NEUROSCIENCES,SCIE,3.1,172/330
Environmental Microbiology Reports,ENV MICROBIOL REP,WILEY,1758-2229,1758-2229,Multiple,SCIE,3.1,232/395
Epigenomics,EPIGENOMICS-UK,TAYLOR & FRANCIS LTD,1750-1911,1750-192X,GENETICS & HEREDITY,SCIE,3.1,74/192
IMMUNOBIOLOGY,IMMUNOBIOLOGY,ELSEVIER GMBH,0171-2985,1878-3279,IMMUNOLOGY,SCIE,3.1,108/183
INTEGRATIVE CANCER THERAPIES,INTEGR CANCER THER,SAGE PUBLICATIONS INC,1534-7354,1552-695X,Multiple,SCIE,3.1,16/48
INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,INT J PHYTOREMEDIAT,TAYLOR & FRANCIS INC,1522-6514,1549-7879,ENVIRONMENTAL SCIENCES,SCIE,3.1,232/395
International Journal of Urban Sustainable Development,INT J URBAN SUSTAIN,TAYLOR & FRANCIS LTD,1946-3138,1946-3146,ENVIRONMENTAL STUDIES,ESCI,3.1,104/202
Journal of Dietary Supplements,J DIET SUPPL,TAYLOR & FRANCIS LTD,1939-0211,1939-022X,Multiple,ESCI,3.1,56/114
JOURNAL OF MICROENCAPSULATION,J MICROENCAPSUL,TAYLOR & FRANCIS LTD,0265-2048,1464-5246,Multiple,SCIE,3.1,35/77
METEOROLOGICAL APPLICATIONS,METEOROL APPL,WILEY,1350-4827,1469-8080,METEOROLOGY & ATMOSPHERIC SCIENCES,SCIE,3.1,62/114
Structure and Infrastructure Engineering,STRUCT INFRASTRUCT E,TAYLOR & FRANCIS LTD,1573-2479,1744-8980,Multiple,SCIE,3.1,74/193
Universal Access in the Information Society,UNIVERSAL ACCESS INF,SPRINGER HEIDELBERG,1615-5289,1615-5297,Multiple,SCIE,3.1,17/34
Welding in the World,WELD WORLD,SPRINGER HEIDELBERG,0043-2288,1878-6669,METALLURGY & METALLURGICAL ENGINEERING,SCIE,3.1,29/97
3 Biotech,3 BIOTECH,SPRINGER HEIDELBERG,2190-572X,2190-5738,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,3.1,100/180
Frontiers in Neuroergonomics,FRONT NEUROERGONOM,FRONTIERS MEDIA SA,N/A,2673-6195,Multiple,ESCI,3.1,9/24
INTERNATIONAL DAIRY JOURNAL,INT DAIRY J,ELSEVIER SCI LTD,0958-6946,1879-0143,FOOD SCIENCE & TECHNOLOGY,SCIE,3.1,99/187
Beni-Suef University Journal of Basic and Applied Sciences,BENI-SUEF U J BASIC,SPRINGERNATURE,N/A,2314-8543,MULTIDISCIPLINARY SCIENCES,ESCI,3.1,41/140
Future Oncology,FUTURE ONCOL,TAYLOR & FRANCIS LTD,1479-6694,1744-8301,ONCOLOGY,SCIE,3.1,165/333
International Journal of Management Science and Engineering Management,INT J MANAG SCI ENG,TAYLOR & FRANCIS LTD,1750-9653,1750-9661,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,3.1,39/109
Integrative Conservation,INTEGR CONSERV,WILEY,2770-9329,2770-9329,BIODIVERSITY CONSERVATION,ESCI,3.1,22/77
PLATELETS,PLATELETS,TAYLOR & FRANCIS INC,0953-7104,1369-1635,Multiple,SCIE,3.1,131/207
Qualitative Market Research,QUAL MARK RES,EMERALD GROUP PUBLISHING LTD,1352-2752,1758-7646,BUSINESS,ESCI,3.1,162/323
Aging Medicine,AGING MED-PRC,WILEY,N/A,2475-0360,GERIATRICS & GERONTOLOGY,ESCI,3.1,38/72
Cancer Control,CANCER CONTROL,SAGE PUBLICATIONS INC,1073-2748,1526-2359,ONCOLOGY,SCIE,3.1,165/333
FOLIA MICROBIOLOGICA,FOLIA MICROBIOL,SPRINGER,0015-5632,1874-9356,Multiple,SCIE,3.1,100/180
FREE RADICAL RESEARCH,FREE RADICAL RES,TAYLOR & FRANCIS LTD,1071-5762,1029-2470,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,3.1,192/328
Journal of Infrared Millimeter and Terahertz Waves,J INFRARED MILLIM TE,SPRINGER,1866-6892,1866-6906,Multiple,SCIE,3.1,167/369
Air Quality Atmosphere and Health,AIR QUAL ATMOS HLTH,SPRINGER,1873-9318,1873-9326,ENVIRONMENTAL SCIENCES,SCIE,3.1,232/395
ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,ARAB J SCI ENG,SPRINGER HEIDELBERG,2193-567X,2191-4281,MULTIDISCIPLINARY SCIENCES,SCIE,3.1,41/140
DECISION SCIENCES,DECISION SCI,WILEY,0011-7315,1540-5915,MANAGEMENT,SSCI,3.1,204/426
Waste and Biomass Valorization,WASTE BIOMASS VALORI,SPRINGER,1877-2641,1877-265X,ENVIRONMENTAL SCIENCES,SCIE,3.1,232/395
Frontiers in Research Metrics and Analytics,FRONT RES METR ANAL,FRONTIERS MEDIA SA,N/A,2504-0537,INFORMATION SCIENCE & LIBRARY SCIENCE,ESCI,3.1,49/172
JOURNAL OF CHANGE MANAGEMENT,J CHANG MANAG,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1469-7017,1479-1811,MANAGEMENT,ESCI,3.1,204/426
Journal of Immunotherapy and Precision Oncology,J IMMUNOTHER PRECIS,Innovative Healthcare Institute,2666-2345,2590-017X,Multiple,ESCI,3.1,108/183
Open Biology,OPEN BIOL,ROYAL SOC,N/A,2046-2441,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,3.1,192/328
IET Smart Grid,IET SMART GRID,WILEY,N/A,2515-2947,"ENGINEERING, ELECTRICAL & ELECTRONIC",ESCI,3.1,167/369
International Journal of Intelligent Computing and Cybernetics,INT J INTELL COMPUT,EMERALD GROUP PUBLISHING LTD,1756-378X,1756-3798,"COMPUTER SCIENCE, CYBERNETICS",ESCI,3.1,17/34
JOURNAL OF APPLIED POLYMER SCIENCE,J APPL POLYM SCI,WILEY,0021-8995,1097-4628,POLYMER SCIENCE,SCIE,3.1,51/96
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,J INTELL ROBOT SYST,SPRINGER,0921-0296,1573-0409,Multiple,SCIE,3.1,114/210
MOLECULAR MICROBIOLOGY,MOL MICROBIOL,WILEY,0950-382X,1365-2958,Multiple,SCIE,3.1,192/328
CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION,CURR OPIN NEPHROL HY,LIPPINCOTT WILLIAMS & WILKINS,1062-4821,1473-6543,Multiple,SCIE,3.1,36/100
IEEE Transactions on Haptics,IEEE T HAPTICS,IEEE COMPUTER SOC,1939-1412,2329-4051,"COMPUTER SCIENCE, CYBERNETICS",SCIE,3.1,17/34
Materialia,MATERIALIA,ELSEVIER SCI LTD,2589-1529,2589-1529,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,3.1,272/472
FEBS LETTERS,FEBS LETT,WILEY,0014-5793,1873-3468,Multiple,SCIE,3.1,192/328
Journal of Alzheimers Disease Reports,J ALZHEIMERS DIS REP,SAGE PUBLICATIONS INC,N/A,2542-4823,NEUROSCIENCES,ESCI,3.1,172/330
AgriEngineering,AGRIENGINEERING,MDPI,N/A,2624-7402,AGRICULTURAL ENGINEERING,ESCI,3.1,7/22
Journal of Circular Economy,J CIRC ECON,DSRPT UG,N/A,2752-163X,Multiple,ESCI,3.1,104/202
Metals,METALS-BASEL,MDPI,N/A,2075-4701,Multiple,SCIE,3.1,272/472
JOURNAL OF FOOD PROCESSING AND PRESERVATION,J FOOD PROCESS PRES,WILEY,0145-8892,1745-4549,FOOD SCIENCE & TECHNOLOGY,SCIE,3.1,99/187
Lasers in Manufacturing and Materials Processing,LASERS MANUF MATER P,SPRINGERNATURE,2196-7229,2196-7237,Multiple,ESCI,3.1,46/71
Micro and Nanostructures,MICRO NANOSTRUCTURES,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,N/A,2773-0123,"PHYSICS, CONDENSED MATTER",SCIE,3.1,39/81
AUSTRALIAN JOURNAL OF MANAGEMENT,AUST J MANAGE,SAGE PUBLICATIONS LTD,0312-8962,1327-2020,Multiple,SSCI,3.1,162/323
International Journal of Hypertension,INT J HYPERTENS,WILEY,2090-0384,2090-0392,PERIPHERAL VASCULAR DISEASE,SCIE,3.1,36/100
POLYMER JOURNAL,POLYM J,SPRINGERNATURE,0032-3896,1349-0540,POLYMER SCIENCE,SCIE,3.1,51/96
Frontiers in Blockchain,FRONT BLOCKCHAIN,FRONTIERS MEDIA SA,2624-7852,2624-7852,Multiple,ESCI,3.1,135/266
Electronic Materials Letters,ELECTRON MATER LETT,KOREAN INST METALS MATERIALS,1738-8090,2093-6788,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,3.1,272/472
International Journal of Agricultural and Biological Engineering,INT J AGR BIOL ENG,CHINESE ACAD AGRICULTURAL ENGINEERING,1934-6344,1934-6352,AGRICULTURAL ENGINEERING,SCIE,3.1,7/22
RESEARCH-TECHNOLOGY MANAGEMENT,RES TECHNOL MANAGE,TAYLOR & FRANCIS INC,0895-6308,1930-0166,Multiple,SSCI,3.1,162/323
Annals of Neurosciences,ANN NEUROSCI,SAGE PUBLICATIONS LTD,0972-7531,0976-3260,NEUROSCIENCES,ESCI,3.1,172/330
Cement,CEMENT-NETH,ELSEVIER,N/A,2666-5492,Multiple,ESCI,3.1,40/104
JOURNAL OF SOLID STATE ELECTROCHEMISTRY,J SOLID STATE ELECTR,SPRINGER,1432-8488,1433-0768,ELECTROCHEMISTRY,SCIE,3.1,28/44
Fuel Cells,FUEL CELLS,WILEY-V C H VERLAG GMBH,1615-6846,1615-6854,Multiple,SCIE,3.1,28/44
JOURNAL OF SOIL AND WATER CONSERVATION,J SOIL WATER CONSERV,TAYLOR & FRANCIS LTD,0022-4561,1941-3300,Multiple,SCIE,3.1,72/205
Progress in Artificial Intelligence,PROG ARTIF INTELL,SPRINGERNATURE,2192-6352,2192-6360,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",ESCI,3.1,114/210
CELL AND TISSUE RESEARCH,CELL TISSUE RES,SPRINGER,0302-766X,1432-0878,CELL BIOLOGY,SCIE,3.1,131/207
Journal of Agricultural Engineering,J AGRIC ENG-ITALY,PAGEPRESS PUBL,1974-7071,2239-6268,AGRICULTURAL ENGINEERING,SCIE,3.1,7/22
Mechanobiology in Medicine,MECHANOBIOL MED,ELSEVIER,N/A,2949-9070,"ENGINEERING, BIOMEDICAL",ESCI,3.1,64/130
Nankai Business Review International,NANKAI BUS REV NT,EMERALD GROUP PUBLISHING LTD,2040-8749,2040-8757,MANAGEMENT,ESCI,3.1,204/426
Transport,TRANSPORT-VILNIUS,VILNIUS GEDIMINAS TECH UNIV,1648-4142,1648-3480,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,3.1,42/80
ChemPlusChem,CHEMPLUSCHEM,WILEY-V C H VERLAG GMBH,2192-6506,2192-6506,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,3.1,122/250
Advances in Condensed Matter Physics,ADV COND MATTER PHYS,WILEY,1687-8108,1687-8124,"PHYSICS, CONDENSED MATTER",SCIE,3.1,39/81
BULLETIN OF THE KOREAN CHEMICAL SOCIETY,B KOREAN CHEM SOC,WILEY-V C H VERLAG GMBH,0253-2964,1229-5949,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,3.1,122/250
Regenerative Engineering and Translational Medicine,REGEN ENG TRANSL MED,SPRINGER HEIDELBERG,2364-4133,2364-4141,"ENGINEERING, BIOMEDICAL",ESCI,3.1,64/130
Journal of Nanotechnology,J NANOTECHNOL,WILEY,1687-9503,1687-9511,NANOSCIENCE & NANOTECHNOLOGY,ESCI,3.1,97/148
Clinical and Translational Discovery,CLIN TRANSL DISCOV,WILEY,N/A,2768-0622,"MEDICINE, RESEARCH & EXPERIMENTAL",ESCI,3.1,92/191
MEDIA PSYCHOLOGY,MEDIA PSYCHOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1521-3269,1532-785X,Multiple,SSCI,3.0,38/227
Psychology of Aesthetics Creativity and the Arts,PSYCHOL AESTHET CREA,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,1931-3896,1931-390X,Multiple,AHCI,3.0,N/A
